Pathway 1,Database 1,Relation,Pathway 2,Database 2
2-Oxocarboxylic acid metabolism,KEGG,Part Of,Amino Acid metabolism,WikiPathways
ABC transporters,KEGG,Equivalent,Mitochondrial ABC transporters,Reactome
Adherens junction,KEGG,Equivalent,Adherens junctions interactions,Reactome
Adipocytokine signaling pathway,KEGG,Part Of,Metabolism,Reactome
"Alanine, aspartate and glutamate metabolism",KEGG,Part Of,Amino Acid metabolism,WikiPathways
"Alanine, aspartate and glutamate metabolism",KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
"Alanine, aspartate and glutamate metabolism",KEGG,Part Of,Metabolism,Reactome
Alcoholism,KEGG,Part Of,Common Pathways Underlying Drug Addiction,WikiPathways
Aldosterone synthesis and secretion,KEGG,Part Of,Glucocorticoid and Mineralcorticoid Metabolism,WikiPathways
Aldosterone synthesis and secretion,KEGG,Part Of,Metabolism,Reactome
Allograft rejection,KEGG,Equivalent,Allograft Rejection,WikiPathways
Allograft rejection,KEGG,Part Of,Adaptive Immune System,Reactome
Allograft rejection,KEGG,Part Of,Immune System,Reactome
alpha-Linolenic acid metabolism,KEGG,Equivalent,alpha-linolenic acid (ALA) metabolism,Reactome
alpha-Linolenic acid metabolism,KEGG,Part Of,Metabolism of lipids,Reactome
alpha-Linolenic acid metabolism,KEGG,Part Of,Metabolism,Reactome
Alzheimer disease,KEGG,Equivalent,Alzheimers Disease,WikiPathways
Amino sugar and nucleotide sugar metabolism,KEGG,Part Of,Metabolism,Reactome
Aminoacyl-tRNA biosynthesis,KEGG,Part Of,Metabolism,Reactome
Amphetamine addiction,KEGG,Part Of,Common Pathways Underlying Drug Addiction,WikiPathways
AMPK signaling pathway,KEGG,Equivalent,AMP-activated Protein Kinase (AMPK) Signaling,WikiPathways
Amyotrophic lateral sclerosis (ALS),KEGG,Equivalent,Amyotrophic lateral sclerosis (ALS),WikiPathways
Antigen processing and presentation,KEGG,Equivalent,Antigen processing-Cross presentation,Reactome
Apoptosis,KEGG,Equivalent,Apoptosis,WikiPathways
Apoptosis,KEGG,Equivalent,Apoptosis,Reactome
Apoptosis,KEGG,Equivalent,Apoptosis - multiple species,KEGG
Arachidonic acid metabolism,KEGG,Equivalent,Arachidonic acid metabolism,Reactome
Arginine and proline metabolism,KEGG,Part Of,Amino Acid metabolism,WikiPathways
Arginine and proline metabolism,KEGG,Part Of,Urea cycle and metabolism of amino groups,WikiPathways
Arginine and proline metabolism,KEGG,Part Of,Metabolism,Reactome
Arginine and proline metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Arginine biosynthesis,KEGG,Part Of,Amino Acid metabolism,WikiPathways
Arginine biosynthesis,KEGG,Part Of,Urea cycle and metabolism of amino groups,WikiPathways
Arginine biosynthesis,KEGG,Part Of,Metabolism,Reactome
Arginine biosynthesis,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Arginine biosynthesis,KEGG,Part Of,Urea cycle,Reactome
Arrhythmogenic right ventricular cardiomyopathy (ARVC),KEGG,Equivalent,Arrhythmogenic Right Ventricular Cardiomyopathy,WikiPathways
Ascorbate and aldarate metabolism,KEGG,Part Of,Metabolism,Reactome
Autophagy - other,KEGG,Equivalent,Macroautophagy,Reactome
Autophagy - other,KEGG,Part Of,Immune System,Reactome
Axon guidance,KEGG,Equivalent,Axon guidance,Reactome
B cell receptor signaling pathway,KEGG,Equivalent,B Cell Receptor Signaling Pathway,WikiPathways
B cell receptor signaling pathway,KEGG,Equivalent,Signaling by the B Cell Receptor (BCR),Reactome
B cell receptor signaling pathway,KEGG,Part Of,Adaptive Immune System,Reactome
B cell receptor signaling pathway,KEGG,Part Of,Immune System,Reactome
Basal transcription factors,KEGG,Part Of,RNA Polymerase II Transcription,Reactome
Basal transcription factors,KEGG,Part Of,Generic Transcription Pathway,Reactome
Basal transcription factors,KEGG,Part Of,Metabolism of RNA,Reactome
Basal transcription factors,KEGG,Part Of,Gene expression (Transcription),Reactome
Base excision repair,KEGG,Equivalent,Base Excision Repair,Reactome
beta-Alanine metabolism,KEGG,Part Of,Urea cycle and metabolism of amino groups,WikiPathways
beta-Alanine metabolism,KEGG,Part Of,Biogenic Amine Synthesis,WikiPathways
beta-Alanine metabolism,KEGG,Part Of,Alanine and aspartate metabolism,WikiPathways
beta-Alanine metabolism,KEGG,Part Of,Amino Acid metabolism,WikiPathways
