Pathway 1,Database 1,Relation,Pathway 2,Database 2
Allograft rejection,KEGG,Equivalent,Allograft Rejection,WikiPathways
Amyotrophic lateral sclerosis (ALS),KEGG,Equivalent,Amyotrophic lateral sclerosis (ALS),WikiPathways
Arachidonic acid metabolism,KEGG,Equivalent,Arachidonic acid metabolism,Reactome
Cell adhesion molecules (CAMs),KEGG,Part Of,Cell-cell junction organization,Reactome
Cell adhesion molecules (CAMs),KEGG,Part Of,Tight junction interactions,Reactome
Complement and coagulation cascades,KEGG,Equivalent,Complement and Coagulation Cascades,WikiPathways
Cytokine-cytokine receptor interaction,KEGG,Part Of,Cytokines and Inflammatory Response,WikiPathways
Cytokine-cytokine receptor interaction,KEGG,Part Of,Inflammatory Response Pathway,WikiPathways
Cytokine-cytokine receptor interaction,KEGG,Part Of,Cytokine Signaling in Immune system,Reactome
ECM-receptor interaction,KEGG,Part Of,Extracellular matrix organization,Reactome
Glutathione metabolism,KEGG,Equivalent,Glutathione metabolism,WikiPathways
Glycosaminoglycan degradation,KEGG,Part Of,Glycosaminoglycan metabolism,Reactome
Graft-versus-host disease,KEGG,Part Of,Allograft Rejection,WikiPathways
Olfactory transduction,KEGG,Equivalent,Olfactory Signaling Pathway,Reactome
PPAR signaling pathway,KEGG,Equivalent,PPAR signaling pathway,WikiPathways
Primary bile acid biosynthesis,KEGG,Part Of,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Reactome
Purine metabolism,KEGG,Part Of,Nucleobase catabolism,Reactome
Purine metabolism,KEGG,Part Of,Metabolism of nucleotides,Reactome
RIG-I-like receptor signaling pathway,KEGG,Part Of,Innate Immune System,Reactome
Activation of C3 and C5,Reactome,Part Of,Complement and coagulation cascades,KEGG
Activation of C3 and C5,Reactome,Part Of,Complement Activation,WikiPathways
Activation of C3 and C5,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Activation of Matrix Metalloproteinases,Reactome,Part Of,Matrix Metalloproteinases,WikiPathways
Aflatoxin activation and detoxification,Reactome,Part Of,Aflatoxin B1 metabolism,WikiPathways
Alternative complement activation,Reactome,Part Of,Complement and coagulation cascades,KEGG
Alternative complement activation,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Cell-cell junction organization,Reactome,Part Of,Cell adhesion molecules (CAMs),KEGG
Chemokine receptors bind chemokines,Reactome,Part Of,Chemokine signaling pathway,KEGG
Chemokine receptors bind chemokines,Reactome,Part Of,Cytokine-cytokine receptor interaction,KEGG
Common Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and coagulation cascades,KEGG
Common Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Complement cascade,Reactome,Part Of,Complement and coagulation cascades,KEGG
Complement cascade,Reactome,Equivalent,Complement Activation,WikiPathways
Complement cascade,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Cytokine Signaling in Immune system,Reactome,Equivalent,Cytokines and Inflammatory Response,WikiPathways
Degradation of the extracellular matrix,Reactome,Part Of,Matrix Metalloproteinases,WikiPathways
Dissolution of Fibrin Clot,Reactome,Part Of,Complement and coagulation cascades,KEGG
Dissolution of Fibrin Clot,Reactome,Part Of,Blood Clotting Cascade,WikiPathways
Dissolution of Fibrin Clot,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion,Reactome,Equivalent,GPR40 Pathway,WikiPathways
Gluconeogenesis,Reactome,Part Of,Glycolysis and Gluconeogenesis,WikiPathways
Glutathione conjugation,Reactome,Part Of,Glutathione metabolism,WikiPathways
Heme degradation,Reactome,Part Of,Porphyrin and chlorophyll metabolism,KEGG
Initial triggering of complement,Reactome,Part Of,Complement Activation,WikiPathways
Interferon gamma signaling,Reactome,Equivalent,Type II interferon signaling (IFNG),WikiPathways
